#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
3.000000000000000e+02	0.000000000000000e+00	4.331921552258015e+11	4.830917874396136e+14	1.729874503276287e+16	4.830917874396136e+14	4.835249795948394e+14
3.009700970097010e+02	-1.925061474581188e+09	4.359982743444177e+11	4.830917874396136e+14	1.729879635213882e+16	4.830898623781390e+14	4.835277857139580e+14
3.019401940194019e+02	-3.842580272014902e+09	4.388134528414602e+11	4.830917874396136e+14	1.729884767136252e+16	4.830879448593416e+14	4.835306008924550e+14
3.029102910291029e+02	-5.752455569305283e+09	4.416376907169289e+11	4.830917874396136e+14	1.729889899043398e+16	4.830860349840442e+14	4.835334251303305e+14
3.038803880388039e+02	-7.654587438696925e+09	4.444709879708239e+11	4.830917874396136e+14	1.729895030935320e+16	4.830841328521749e+14	4.835362584275844e+14
3.048504850485049e+02	-9.548876457592239e+09	4.473133446031453e+11	4.830917874396136e+14	1.729900162812017e+16	4.830822385631560e+14	4.835391007842167e+14
3.058205820582058e+02	-1.143522412421499e+10	4.501647606138927e+11	4.830917874396136e+14	1.729905294673490e+16	4.830803522154893e+14	4.835419522002274e+14
3.067906790679068e+02	-1.331353266576678e+10	4.530252360030664e+11	4.830917874396136e+14	1.729910426519740e+16	4.830784739069478e+14	4.835448126756166e+14
3.077607760776078e+02	-1.518370512795530e+10	4.558947707706664e+11	4.830917874396136e+14	1.729915558350765e+16	4.830766037344856e+14	4.835476822103842e+14
3.087308730873087e+02	-1.704564519594036e+10	4.587733649166926e+11	4.830917874396136e+14	1.729920690166568e+16	4.830747417944176e+14	4.835505608045302e+14
3.097009700970097e+02	-1.889925738617913e+10	4.616610184411450e+11	4.830917874396136e+14	1.729925821967146e+16	4.830728881822274e+14	4.835534484580547e+14
3.106710671067107e+02	-2.074444694410992e+10	4.645577313440236e+11	4.830917874396136e+14	1.729930953752501e+16	4.830710429926694e+14	4.835563451709576e+14
3.116411641164116e+02	-2.258112006797163e+10	4.674635036253286e+11	4.830917874396136e+14	1.729936085522633e+16	4.830692063195456e+14	4.835592509432389e+14
3.126112611261126e+02	-2.440918329490218e+10	4.703783352850598e+11	4.830917874396136e+14	1.729941217277542e+16	4.830673782563187e+14	4.835621657748986e+14
3.135813581358136e+02	-2.622854435784476e+10	4.733022263232172e+11	4.830917874396136e+14	1.729946349017228e+16	4.830655588952557e+14	4.835650896659368e+14
3.145514551455145e+02	-2.803911161641001e+10	4.762351767398010e+11	4.830917874396136e+14	1.729951480741691e+16	4.830637483279972e+14	4.835680226163534e+14
3.155215521552155e+02	-2.984079414640424e+10	4.791771865348110e+11	4.830917874396136e+14	1.729956612450931e+16	4.830619466454671e+14	4.835709646261484e+14
3.164916491649165e+02	-3.163350190609556e+10	4.821282557082471e+11	4.830917874396136e+14	1.729961744144949e+16	4.830601539377075e+14	4.835739156953218e+14
3.174617461746175e+02	-3.341714555076502e+10	4.850883842601096e+11	4.830917874396136e+14	1.729966875823745e+16	4.830583702940628e+14	4.835768758238737e+14
3.184318431843184e+02	-3.519163643270734e+10	4.880575721903983e+11	4.830917874396136e+14	1.729972007487318e+16	4.830565958031809e+14	4.835798450118039e+14
3.194019401940194e+02	-3.695688690818317e+10	4.910358194991131e+11	4.830917874396136e+14	1.729977139135668e+16	4.830548305527054e+14	4.835828232591127e+14
3.203720372037204e+02	-3.871280989617731e+10	4.940231261862543e+11	4.830917874396136e+14	1.729982270768797e+16	4.830530746297174e+14	4.835858105657998e+14
3.213421342134213e+02	-4.045931914058714e+10	4.970194922518217e+11	4.830917874396136e+14	1.729987402386705e+16	4.830513281204729e+14	4.835888069318654e+14
3.223122312231223e+02	-4.219632926138210e+10	5.000249176958153e+11	4.830917874396136e+14	1.729992533989390e+16	4.830495911103522e+14	4.835918123573094e+14
3.232823282328233e+02	-4.392375553718050e+10	5.030394025182352e+11	4.830917874396136e+14	1.729997665576854e+16	4.830478636840764e+14	4.835948268421318e+14
3.242524252425243e+02	-4.564151407791060e+10	5.060629467190815e+11	4.830917874396136e+14	1.730002797149096e+16	4.830461459255357e+14	4.835978503863326e+14
3.252225222522252e+02	-4.734952161378219e+10	5.090955502983539e+11	4.830917874396136e+14	1.730007928706117e+16	4.830444379179998e+14	4.836008829899119e+14
3.261926192619262e+02	-4.904769605163718e+10	5.121372132560525e+11	4.830917874396136e+14	1.730013060247916e+16	4.830427397435619e+14	4.836039246528696e+14
3.271627162716272e+02	-5.073595557328014e+10	5.151879355921774e+11	4.830917874396136e+14	1.730018191774495e+16	4.830410514840403e+14	4.836069753752058e+14
3.281328132813281e+02	-5.241421947320110e+10	5.182477173067285e+11	4.830917874396136e+14	1.730023323285853e+16	4.830393732201404e+14	4.836100351569203e+14
